站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20211203191856,20.4,1007.6,96,49,12.5,1.1,10075.3
58102,20211203191856,34.4,1025.7,100,61,13.9,0.5,10344.2
58118,20211203191856,28.6,1012.7,44,289,9.0,1.1,10336.5
58122,20211203191856,8.0,1023.7,88,313,9.1,0.2,10155.9
58203,20211203191856,17.8,1017.1,49,137,2.2,1.1,10492.3
58215,20211203191856,15.2,1011.3,70,91,0.0,0.0,10273.9
58221,20211203191856,17.8,1024.5,42,285,9.9,0.0,10350.6
58225,20211203191856,30.3,1011.2,92,264,8.9,0.6,10035.7
58236,20211203191856,17.1,1004.2,60,77,5.0,0.7,10218.0
58311,20211203191856,22.9,1014.7,34,264,3.1,1.5,10064.2
58314,20211203191856,9.4,1005.0,22,343,8.3,1.0,10276.8
58319,20211203191856,23.0,1011.8,47,154,1.2,1.0,10270.1
58321,20211203191856,16.7,1003.5,9,3,9.7,0.7,10420.1
58326,20211203191856,8.8,1005.1,61,354,3.1,0.1,10420.0
58336,20211203191856,15.8,1014.5,67,205,7.8,1.1,10266.3
58338,20211203191856,5.6,1010.3,69,275,0.2,1.1,10280.5
58414,20211203191856,21.8,1007.7,61,78,12.7,1.2,10055.0
58419,20211203191856,15.1,1019.5,39,176,6.8,1.0,10393.8
58424,20211203191856,33.3,1016.1,2,221,14.8,0.3,10302.5
58429,20211203191856,19.9,1022.9,28,289,6.2,0.8,10043.6
58436,20211203191856,16.4,1006.8,7,3,12.0,0.2,10265.0
58437,20211203191856,4.7,1006.7,7,36,2.7,1.3,10433.5
58520,20211203191856,29.0,1012.4,4,345,4.5,0.4,10087.6
58531,20211203191856,24.2,1016.4,66,52,13.3,0.1,10397.5
54406,20211203191856,1.2,1022.1,100,312,0.6,0.5,10129.9
54416,20211203191856,14.2,1016.9,49,297,6.1,0.6,10001.6
54511,20211203191856,4.6,1006.0,8,55,0.5,1.0,10227.6
58725,20211203191856,2.7,1024.9,92,78,14.5,0.0,10413.0
58730,20211203191856,15.2,1009.8,34,225,14.6,1.2,10046.6
58731,20211203191856,34.4,1003.9,37,90,11.3,0.8,10298.4
58734,20211203191856,32.2,1003.0,15,314,10.0,0.5,10207.2
58737,20211203191856,5.5,1010.2,35,20,0.8,0.1,10110.3
58744,20211203191856,27.3,1001.4,82,243,8.9,1.4,10196.7
58754,20211203191856,17.6,1003.0,51,268,14.0,1.1,10462.9
58818,20211203191856,6.8,1008.2,84,22,2.2,0.5,10336.1
58820,20211203191856,31.6,1017.2,51,234,1.1,1.3,10391.1
58834,20211203191856,11.9,1019.9,6,165,10.0,1.4,10003.2
58837,20211203191856,23.2,1001.0,23,66,5.5,0.4,10183.8
58843,20211203191856,3.7,1020.8,90,185,9.1,0.0,10231.9
58846,20211203191856,28.2,1016.6,88,130,9.5,1.0,10137.0
58847,20211203191856,4.5,1002.7,72,81,14.1,0.4,10264.3
58911,20211203191856,27.5,1009.7,68,154,7.4,1.3,10011.5
58918,20211203191856,29.7,1010.1,79,99,7.9,0.8,10076.1
58921,20211203191856,5.4,1007.7,24,290,1.4,0.2,10227.4
58926,20211203191856,6.2,1008.2,58,350,2.9,1.3,10251.6
58927,20211203191856,34.3,1019.1,11,247,7.8,0.5,10477.5
58931,20211203191856,20.4,1005.4,14,356,13.5,0.7,10356.9
58933,20211203191856,13.7,1026.1,52,91,10.6,1.4,10246.0
58936,20211203191856,16.0,1006.8,14,123,4.1,1.1,10164.5
58944,20211203191856,8.3,1019.6,58,345,6.7,0.7,10468.2
59113,20211203191856,18.3,1007.4,18,162,7.0,0.6,10041.0
59126,20211203191856,23.9,1013.9,6,275,3.7,0.0,10286.2
59133,20211203191856,32.0,1014.9,100,75,2.5,0.5,10148.3
59134,20211203191856,25.3,1019.8,58,300,14.4,1.0,10148.4
59321,20211203191856,31.0,1026.1,3,79,3.5,0.0,10261.0
52323,20211203191856,16.3,1006.7,53,204,2.8,0.6,10422.3
52418,20211203191856,4.8,1008.8,7,359,10.5,0.1,10232.6
52424,20211203191856,13.7,1011.0,79,120,10.8,1.1,10454.6
52436,20211203191856,33.6,1015.1,31,96,13.7,0.1,10404.0
52446,20211203191856,8.0,1009.7,42,261,1.1,0.2,10000.7
52447,20211203191856,8.2,1025.1,38,166,12.6,1.5,10165.7
52533,20211203191856,17.2,1002.7,45,255,12.5,1.0,10301.6
52546,20211203191856,3.2,1026.4,61,268,1.1,0.6,10352.9
52652,20211203191856,5.0,1013.4,32,57,13.6,1.3,10002.5
52661,20211203191856,18.5,1008.1,9,60,2.9,0.1,10177.4
52674,20211203191856,30.9,1003.7,16,273,9.6,0.8,10355.9
52679,20211203191856,31.4,1008.4,29,5,14.6,1.2,10347.2
52681,20211203191856,26.8,1003.4,2,109,11.4,0.8,10067.3
52787,20211203191856,3.8,1007.9,98,322,8.2,0.5,10034.3
52797,20211203191856,7.6,1014.2,41,161,4.6,0.8,10391.5
52884,20211203191856,3.4,1019.5,27,214,10.6,0.2,10139.0
52895,20211203191856,7.2,1024.1,17,349,3.1,0.1,10175.2
52983,20211203191856,21.8,1012.3,58,229,1.3,1.4,10122.5
52984,20211203191856,16.8,1019.1,47,191,1.5,0.7,10034.4
52986,20211203191856,10.3,1007.2,51,46,11.7,0.4,10245.0
52996,20211203191856,30.4,1002.0,92,116,3.1,1.1,10383.5
53821,20211203191856,13.2,1002.8,9,33,3.1,1.4,10321.3
53915,20211203191856,5.1,1011.2,20,56,13.6,1.3,10467.8
53923,20211203191856,12.1,1014.1,44,25,5.3,0.1,10231.2
56074,20211203191856,12.9,1007.8,92,108,10.8,1.0,10291.3
56080,20211203191856,24.0,1011.5,14,208,2.5,0.6,10348.8
56093,20211203191856,33.2,1024.5,38,355,6.4,0.8,10291.0
56096,20211203191856,9.8,1011.5,11,202,3.2,0.1,10443.3
57014,20211203191856,9.5,1018.5,91,232,7.3,0.5,10404.2
57996,20211203191856,13.2,1022.7,37,246,1.2,1.3,10115.4
59072,20211203191856,16.9,1013.3,61,355,1.5,0.1,10217.8
59082,20211203191856,7.2,1011.7,6,152,3.3,0.3,10117.7
59087,20211203191856,30.8,1000.0,6,14,12.0,0.7,10409.2
59088,20211203191856,35.0,1017.8,27,210,14.5,1.4,10367.2
59096,20211203191856,29.3,1013.4,95,28,8.9,1.5,10023.5
59097,20211203191856,16.9,1008.9,99,79,1.2,0.0,10145.0
59107,20211203191856,1.2,1017.6,11,282,4.2,1.5,10318.5
59116,20211203191856,32.5,1022.1,84,340,3.9,0.9,10236.5
59117,20211203191856,31.2,1020.9,99,326,9.0,1.3,10065.9
59271,20211203191856,33.5,1009.0,44,178,5.4,0.9,10174.5
59278,20211203191856,32.8,1016.4,2,95,7.1,1.1,10212.0
59280,20211203191856,28.5,1024.8,47,131,14.1,0.9,10049.0
59287,20211203191856,26.3,1009.5,83,132,11.6,0.5,10229.4
59289,20211203191856,9.5,1024.6,18,258,7.6,0.8,10388.0
59293,20211203191856,15.2,1013.6,7,121,10.5,0.7,10408.4
59294,20211203191856,6.6,1012.5,47,333,0.0,1.2,10284.2
59298,20211203191856,2.3,1023.5,70,187,11.7,1.5,10267.7
59303,20211203191856,21.6,1022.1,70,192,11.4,1.5,10191.2
59304,20211203191856,27.2,1004.9,60,335,5.5,0.5,10322.6
59306,20211203191856,27.0,1023.4,97,21,9.6,0.2,10197.9
59310,20211203191856,22.3,1011.5,65,192,11.5,1.3,10252.7
59316,20211203191856,3.5,1008.3,71,69,12.5,1.2,10018.9
59317,20211203191856,10.8,1022.9,45,84,3.0,1.5,10292.7
59324,20211203191856,30.6,1022.7,40,81,14.8,1.1,10227.4
59456,20211203191856,34.3,1021.7,30,152,2.2,0.5,10232.5
59462,20211203191856,8.2,1017.0,57,243,6.9,1.5,10330.6
59478,20211203191856,10.5,1014.6,54,87,5.0,0.5,10210.0
59485,20211203191856,10.5,1008.4,83,60,2.8,0.9,10258.6
59488,20211203191856,5.3,1001.4,17,142,4.3,1.3,10021.5
59493,20211203191856,1.5,1012.3,5,7,12.3,1.2,10007.3
59501,20211203191856,29.4,1006.9,23,100,1.0,0.8,10173.6
59658,20211203191856,19.9,1024.4,52,357,3.6,1.4,10178.5
59663,20211203191856,1.3,1007.2,92,211,6.6,0.3,10331.2
